2,2,4,8,6,7,3,4,8,2,8,7,2,2,8,1,2,7,4,5,5,1,6,1,5,5,7,7,7,1,2,6,2,2,8,8,Perut,Kepala,0.128763874,-0.208432127,-0.014663557,0.26280674,-0.010881569,0.07052336,-0.036355787,-0.266864545,-0.037969254,-0.194620195,-0.010458507,-0.079689167,-0.51948633,-0.669930341,2.41455829,-0.497983323,-3.044472178,-2.014620008,3.084294374,-3.07933275,0.847748386,Hai 1
8,7,8,4,1,8,3,6,3,3,8,3,6,8,6,2,4,6,2,7,8,6,4,8,5,5,6,5,2,3,6,1,6,3,3,4,Perut,Dada,0.127651555,-0.21913881,-0.013795807,0.274908852,-0.011760539,0.067236381,-0.039644235,-0.277361479,-0.03822404,-0.199469323,-0.010051833,-0.081085263,-0.528003181,-0.682968856,2.478635883,-0.490597878,-3.10225797,-2.0833565,3.180219169,-3.16086404,0.86327553,Hai 1
1,3,2,1,5,3,8,2,8,2,6,5,7,8,7,5,3,8,6,6,6,2,5,3,1,1,8,5,4,3,8,1,7,6,5,7,Perut,Dada,0.125336381,-0.21025546,-0.015488896,0.267867994,-0.012160822,0.06507201,-0.028976348,-0.277625369,-0.036669604,-0.206577749,-0.008436504,-0.076571402,-0.516795367,-0.694443016,2.473114743,-0.495324927,-3.101254894,-2.072790304,3.15751271,-3.163462258,0.865643782,Hai 1
4,4,2,3,8,6,7,6,4,7,2,3,7,8,3,1,1,7,4,4,5,3,1,3,2,3,6,2,5,6,7,2,4,2,8,1,Perut,Dada,0.124513877,-0.222117661,-0.01705227,0.273006639,-0.011641599,0.066132073,-0.033210565,-0.278833451,-0.038764628,-0.198217026,-0.010545166,-0.083679793,-0.520863896,-0.687321037,2.460059143,-0.461408538,-3.11627685,-2.09580286,3.154598844,-3.161624448,0.862389354,Hai 1
3,1,8,8,3,4,3,3,3,7,3,1,1,8,8,7,7,8,3,5,1,8,3,6,3,4,6,1,3,2,6,1,7,1,2,1,Perut,Dada,0.118212451,-0.224155107,-0.017557037,0.27426861,-0.010161796,0.06728013,-0.03717164,-0.275281336,-0.038240535,-0.203801204,-0.009396623,-0.082296632,-0.517676834,-0.686685387,2.403445321,-0.433414045,-3.142891841,-2.087491353,3.178569444,-3.157283367,0.859960283,Hai 1
8,3,6,1,2,8,8,8,1,8,8,3,2,3,6,7,2,2,2,6,4,8,7,8,7,8,6,1,2,4,3,5,5,8,1,3,Perut,Dada,0.122604949,-0.223232586,-0.021881676,0.269444116,-0.011890815,0.069669979,-0.034576355,-0.274983479,-0.037784419,-0.205205116,-0.009429523,-0.082168361,-0.513509971,-0.686027625,2.441886365,-0.433239273,-3.140849936,-2.085236178,3.172684751,-3.161542088,0.856929154,Hai 1
7,8,6,6,8,2,2,8,6,2,7,7,8,8,2,6,2,6,1,8,5,3,1,8,5,1,3,2,2,7,7,7,5,5,3,6,Perut,Dada,0.122944414,-0.224036669,-0.021633967,0.271473176,-0.012328904,0.068875054,-0.033809028,-0.276184733,-0.036724138,-0.204557987,-0.009221248,-0.081663,-0.511990623,-0.687981785,2.434893035,-0.434431175,-3.130888872,-2.086370198,3.173974369,-3.164329053,0.85758768,Hai 1
3,3,8,6,8,6,3,3,7,8,7,2,5,3,4,8,1,2,5,3,7,3,1,4,3,6,7,7,2,5,4,5,3,7,2,1,Perut,Dada,0.124786483,-0.222013885,-0.022214136,0.272301556,-0.012141091,0.069694367,-0.035515406,-0.276880123,-0.036821961,-0.201554718,-0.010304054,-0.08327936,-0.514536278,-0.691027914,2.452704023,-0.442974544,-3.137673821,-2.10087058,3.176527559,-3.171946938,0.86155445,Hai 1
8,5,5,4,3,3,7,8,8,8,8,7,8,8,7,1,7,3,2,3,6,6,5,6,8,7,2,7,1,1,2,2,2,5,8,6,Perut,Dada,0.121447009,-0.219610753,-0.018679273,0.273404395,-0.011559934,0.068979713,-0.038421548,-0.278240181,-0.043919451,-0.196278813,-0.012227768,-0.085156919,-0.527614904,-0.689228045,2.454655046,-0.449416684,-3.130774274,-2.113186301,3.145965039,-3.151613748,0.868000389,Hai 1
2,2,8,3,4,8,4,7,8,8,8,5,8,1,7,7,5,8,5,8,7,3,6,2,3,2,1,2,7,5,1,6,1,2,3,7,Perut,Dada,0.125783365,-0.220472422,-0.018113123,0.27617186,-0.01150138,0.067757032,-0.028017799,-0.276696638,-0.041208748,-0.196605583,-0.011133757,-0.086394288,-0.521867047,-0.693281635,2.466247721,-0.465897151,-3.125715156,-2.080453486,3.122619453,-3.150674432,0.867749163,Hai 1
8,3,8,3,8,7,6,2,5,3,3,8,7,2,2,2,3,8,2,5,8,3,2,7,4,1,5,3,3,7,8,8,2,2,3,1,Perut,Dada,0.126433447,-0.218993223,-0.01698392,0.278931676,-0.011619612,0.064736974,-0.026696391,-0.27824166,-0.040104678,-0.196820179,-0.010826263,-0.085206701,-0.521058535,-0.696040517,2.470288679,-0.475996291,-3.111182463,-2.08054239,3.12298331,-3.154587209,0.869468531,Hai 1
