kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,stringnamagerakan
5,8,8,7,7,7,7,1,1,1,1,6,0,0,2,0,0,0,5,8,1,7,7,7,7,5,5,4,5,5,0,0,5,0,0,0,Perut,Perut,Bingkai
0,1,8,8,8,8,7,7,7,7,7,7,4,1,2,1,2,1,8,8,1,1,1,1,7,7,7,7,7,7,5,4,5,5,5,5,Dada,Dada,Bingkai
1,0,8,8,8,8,8,4,7,7,7,1,1,2,1,1,2,0,1,1,1,1,8,1,8,5,7,7,7,4,4,5,5,5,5,5,Dada,Dada,Bingkai
0,3,8,8,8,8,7,7,7,7,7,4,1,1,1,1,1,0,0,1,1,1,8,8,7,7,7,7,7,5,4,5,5,5,5,0,Dada,Dada,Bingkai
1,8,8,8,8,7,7,7,7,7,7,7,2,1,1,1,1,0,8,2,1,1,8,1,7,7,7,7,7,7,3,4,5,5,5,5,Dada,Dada,Bingkai
2,0,8,8,8,8,8,8,7,7,7,7,7,1,1,1,1,1,5,3,3,8,1,1,1,7,7,7,7,7,7,5,5,4,5,5,Dada,Dada,Bingkai
8,0,8,8,8,8,8,3,7,7,7,8,2,1,1,1,1,4,8,0,1,1,1,1,1,6,7,7,7,7,4,4,4,5,5,5,Dada,Dada,Bingkai
0,0,8,8,8,8,8,8,7,7,7,7,1,1,1,1,1,2,8,4,1,1,1,1,8,8,7,7,7,7,5,4,4,5,5,5,Dada,Dada,Bingkai
1,1,0,8,8,8,8,8,7,7,7,7,7,8,1,1,1,1,0,0,8,8,8,1,8,8,7,7,7,7,7,7,5,4,5,5,Dada,Kepala,Bingkai
0,0,8,8,8,8,3,7,8,7,7,1,1,1,1,0,0,8,3,5,1,1,8,1,6,7,7,7,7,4,5,5,5,5,1,0,Dada,Dada,Bingkai
