kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
5,0,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,5,0,1,1,1,1,1,1,1,1,1,1,0,1,0,5,0,5,Perut,Perut,0.070401235,-0.245216049,0.007060185,-0.012052469,0.007191358,-0.003310185,-0.067962963,-0.243402778,-0.029228395,-0.043765432,-0.020925926,-0.006334877,-0.542291667,-0.043171296,2.209880821,-0.241262147,-2.10628297,-2.237131006,0.45046142,1.792712508,0.545083951,Besar
0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,3,7,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,Perut,Perut,0.078603705,-0.229687667,-0.044925108,-0.08387504,-0.008150315,-0.01868311,-0.087359539,-0.2515767,0.028102447,-0.085681918,0.003479224,-0.026748715,-0.424407632,-0.031823435,2.238048815,1.483320322,-0.283324009,-2.270904249,-0.514177787,0.674803927,0.426163018,Besar
0,1,0,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,0,2,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,8,Perut,Perut,0.092183436,-0.233880213,-0.032081253,-0.073718751,-0.011059731,-0.022741197,-0.094093321,-0.231432686,-0.001441599,-0.098491164,0.002874423,-0.024909687,-0.490955768,-0.029772873,2.267723439,0.292966077,-0.830554649,-2.322829795,-0.382126037,0.409691954,0.493099875,Besar
0,0,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,2,3,0,2,1,1,1,1,1,1,2,1,1,3,Perut,Perut,0.076992425,-0.225002994,-0.056753149,-0.099586203,-0.02251625,-0.032224337,-0.083467665,-0.23231592,0.032915554,-0.116001922,0.018621045,-0.034016134,-0.379699812,-0.028958158,2.223223855,1.052626499,0.424084031,-2.293747142,-0.968339553,0.185224719,0.383079128,Besar
8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,0,0,7,1,1,1,1,1,1,1,2,2,1,Perut,Perut,0.078527567,-0.221527861,-0.036020921,-0.10193295,-0.017292118,-0.035339565,-0.071207435,-0.218119887,0.032858765,-0.127944498,0.001350585,-0.027611559,-0.421936106,-0.021082171,2.255572156,1.718953826,-0.865506435,-2.24932094,-1.136470144,0.259891623,0.422651511,Besar
0,0,0,0,0,0,0,0,8,7,8,8,8,8,8,8,8,8,0,3,6,0,0,3,7,0,0,1,1,1,1,1,1,1,1,1,Perut,Perut,0.078332197,-0.219715685,-0.063993843,-0.111158899,-0.028678466,-0.037403811,-0.067508648,-0.220268611,0.052849428,-0.134018476,0.018488696,-0.030507416,-0.331753037,-0.020317193,2.260729544,2.394364862,1.006210399,-2.236202149,-1.830221254,-0.685968715,0.332675542,Besar
0,8,1,0,1,8,8,8,8,8,8,8,8,8,8,8,7,8,3,0,0,0,7,1,1,8,1,1,1,1,1,1,1,1,2,1,Perut,Perut,0.073564783,-0.221658769,-0.031499829,-0.103087747,-0.014685513,-0.036038995,-0.076597462,-0.227229684,0.019801373,-0.124278291,0.00606913,-0.031125206,-0.431159807,-0.032508811,2.213069874,1.145005167,-0.386480984,-2.267308833,-0.509034378,-0.229644652,0.43262089,Besar
0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Perut,Perut,0.077826825,-0.220417947,-0.004183256,-0.102641271,-0.007580776,-0.037952191,-0.076309103,-0.218902183,0.010856328,-0.129540338,-0.000296243,-0.035679881,-0.486235463,-0.029546689,2.235993509,1.091158243,-0.280915253,-2.24587957,-0.719723672,-0.44108563,0.487225984,Besar
3,0,8,0,7,7,8,8,8,0,8,7,8,8,8,8,8,8,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,Perut,Perut,0.069939634,-0.222789387,-0.025116202,-0.098406702,-0.010488355,-0.029665339,-0.05684192,-0.233858394,-0.001365102,-0.106653898,-0.002786007,-0.02571333,-0.445173207,-0.022765186,2.185937761,0.693619353,0.423591681,-2.155970125,0.116038011,0.286892551,0.44662678,Besar
7,0,7,0,0,8,8,8,8,8,8,8,8,0,8,8,8,8,3,0,1,1,5,1,1,1,1,0,1,7,1,1,1,1,1,1,Perut,Perut,0.075553879,-0.215077483,-0.021253228,-0.111900186,-0.00695801,-0.036379593,-0.063245609,-0.224273844,-0.005315697,-0.124073719,-0.002855167,-0.034880926,-0.473199256,-0.020076811,2.256445919,1.974444615,-0.631972009,-2.179102082,-0.496472437,0.19952358,0.474079811,Besar
0,7,8,8,8,1,0,8,8,8,7,8,7,8,8,1,4,1,0,1,7,1,7,0,2,1,8,7,7,8,7,7,7,0,6,5,Perut,Perut,0.064444444,-0.205277778,-0.114166667,-0.038888889,-0.009722222,-0.010555556,-0.043888889,-0.221666667,0.095277778,-0.030555556,0.016666667,-0.011666667,-0.22,-0.018888889,2.132651235,1.729155342,-1.22850347,-2.057273439,-1.986451419,-0.730819864,0.22443262,Bola
0,0,0,0,0,1,5,5,8,8,8,7,7,7,7,4,1,1,0,1,0,0,0,3,4,6,1,8,7,7,7,7,7,6,3,5,Dada,Dada,0.050679012,-0.214591049,-0.10900463,-0.019969136,-0.043603395,0.001095679,-0.043441358,-0.213657407,0.089591049,-0.023904321,0.00712963,-0.01587963,-0.188055556,-0.022469136,2.168163171,1.306584409,1.609608182,-2.123362206,-1.528072913,0.941272059,0.197921614,Bola
0,0,8,0,0,2,5,5,8,8,8,7,8,7,4,1,2,1,0,0,0,2,3,5,5,5,1,1,8,8,7,7,5,5,0,3,Perut,Perut,0.071358549,-0.206376999,-0.120006948,-0.062523124,-0.063197225,-0.018579401,-0.045434754,-0.22127597,0.106025919,-0.060550852,0.02602402,-0.015151142,-0.146279364,-0.012393881,2.213647077,1.854963559,1.217475863,-2.100202377,-2.094804946,-1.384121451,0.174863625,Bola
7,0,3,1,8,8,8,8,8,8,8,7,7,8,7,4,1,2,0,0,0,5,8,1,0,1,7,7,7,7,7,7,7,6,4,5,Perut,Perut,0.060593293,-0.217121583,-0.121944637,-0.032014531,-0.015644367,-0.028849428,-0.044039854,-0.224479888,0.096278498,-0.053626413,0.010722889,-0.020976421,-0.207118871,-0.019788719,2.173029072,1.340861679,-1.04409276,-2.084267193,-0.979115074,0.196674432,0.238384667,Bola
0,0,0,3,7,3,1,8,7,8,7,7,7,7,4,1,1,0,0,5,0,3,7,1,1,1,8,8,7,7,8,7,6,6,5,0,Perut,Perut,0.069182557,-0.211795619,-0.139654278,-0.04930711,-0.033345405,-0.013278433,-0.056800957,-0.216770432,0.095745585,-0.060241996,0.046821545,-0.012647358,-0.154997777,-0.018680393,2.190581568,1.735682991,-0.247748873,-2.153334094,-1.997192889,-0.831073047,0.182571804,Bola
8,0,8,5,8,8,8,8,7,7,7,4,1,1,1,8,4,0,0,1,1,4,8,8,8,7,7,7,7,6,5,5,0,0,5,0,Perut,Perut,0.057477293,-0.216716545,-0.097490397,-0.078591864,-0.03731515,-0.028424401,-0.030744471,-0.227965845,0.081826266,-0.0802845,0.016022821,-0.02479576,-0.209861049,-0.014407789,2.18192871,2.107386639,0.738272725,-2.073260732,-0.906932342,-0.271323734,0.225069745,Bola
0,0,0,0,0,1,8,8,8,8,7,7,3,1,0,3,3,0,3,0,7,0,7,8,1,1,1,8,7,7,5,6,5,5,6,1,Perut,Perut,0.056240337,-0.224835429,-0.126803619,-0.037352309,-0.034318916,-0.014504957,-0.055610142,-0.214103369,0.110626409,-0.057415343,0.047574092,-0.016971293,-0.1467823,-0.01396945,2.166129144,1.731439918,0.01569177,-2.178358551,-1.897097677,-1.428261299,0.159453036,Bola
0,8,0,4,4,4,1,1,1,8,8,8,7,7,7,8,3,3,0,1,5,5,5,5,0,1,1,1,1,8,7,7,7,7,6,6,Dada,Dada,0.039062232,-0.224300984,-0.098244545,-0.008537564,-0.024008859,-0.007069582,-0.03237806,-0.225947316,0.105295178,-0.01798376,0.03659928,-0.010749203,-0.157410619,-0.015943596,2.055297415,1.226275015,0.601046159,-2.020199191,-0.315704696,-0.964372728,0.184646132,Bola
0,0,0,8,1,8,8,8,8,8,7,3,3,1,1,1,2,2,0,0,0,3,5,1,1,8,7,8,7,5,6,6,5,4,4,5,Perut,Perut,0.039613474,-0.223799615,-0.077074263,-0.033201032,-0.028305562,-0.009403603,-0.043998749,-0.220259219,0.068229394,-0.058023136,0.016548302,-0.018117862,-0.246055101,-0.033145018,2.053458977,1.016248129,1.215931753,-2.087162866,-0.969451251,-0.46796408,0.25478673,Bola
0,0,0,1,4,8,8,8,8,7,4,8,1,1,2,0,0,0,0,6,1,5,4,1,7,7,7,7,6,7,5,5,0,3,0,0,Perut,Perut,0.053044819,-0.208994434,-0.086029841,-0.056755584,-0.044952932,-0.023594545,-0.036499965,-0.223340534,0.074395261,-0.058556198,0.011293008,-0.026614385,-0.226557086,-0.021198473,2.134332889,1.922935363,1.028874511,-2.045662953,-1.245410346,-0.1187983,0.23235394,Bola
0,0,0,3,0,8,8,8,8,8,7,7,3,7,8,1,3,0,0,0,5,5,4,1,1,8,8,8,7,7,6,7,7,5,3,3,Perut,Perut,0.053417912,-0.213027623,-0.086000829,-0.048520988,-0.042637581,-0.015099848,-0.026291666,-0.232037237,0.060677646,-0.041904339,-0.004408528,-0.0168504,-0.247682141,-0.01892218,2.124009633,2.015249025,-0.225739728,-2.00021012,-0.286054298,-0.320758383,0.25410991,Bola
5,8,8,7,7,7,7,1,1,1,1,6,0,0,2,0,0,0,5,8,1,7,7,7,7,5,5,4,5,5,0,0,5,0,0,0,Perut,Perut,0.056944444,-0.213333333,-0.11,0.016666667,-0.033055556,0.001388889,-0.046388889,-0.215555556,0.076388889,0.005555556,0.055277778,0.007222222,-0.161388889,-0.010277778,2.192404847,1.226871987,0.091197754,-2.137892164,-1.014898662,-0.66577487,0.234501365,Bingkai
