kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],stateKiri[4],stateKiri[6],stateKiri[8],stateKiri[10],stateKiri[12],stateKiri[14],stateKiri[16],stateKiri[18],stateKiri[20],stateKiri[22],stateKiri[24],stateKiri[26],stateKiri[28],stateKiri[30],stateKiri[32],stateKiri[34],stateKiri[36],stateKiri[38],stateKanan[4],stateKanan[6],stateKanan[8],stateKanan[10],stateKanan[12],stateKanan[14],stateKanan[16],stateKanan[18],stateKanan[20],stateKanan[22],stateKanan[24],stateKanan[26],stateKanan[28],stateKanan[30],stateKanan[32],stateKanan[34],stateKanan[36],stateKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.14400666,-0.092638754,-0.044831213,0.215781718,-0.020594565,0.072155416,-0.035579365,-0.257142875,0.004444659,-0.191619308,0.013888787,-0.066750598,-0.421398107,-0.729715816,2.905675374,-0.817007209,-3.121769878,-2.111002297,-3.06608076,-3.043719826,0.842654615,Hai
0,0,0,0,0,0,0,0,0,7,0,1,7,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.148166852,-0.093962188,-0.050689756,0.217382826,-0.020572071,0.072004317,-0.030988316,-0.262420635,0.000123463,-0.197544981,0.0128858,-0.055743072,-0.419205503,-0.726380995,2.909414071,-0.798454364,-3.17979711,-2.075736978,-3.109735251,-2.982358023,0.838698496,Hai
0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.14856019,-0.092610061,-0.049741382,0.217427301,-0.019460335,0.070611231,-0.031138564,-0.257845018,0.003058985,-0.204098472,0.012302383,-0.056826196,-0.419700153,-0.731010583,2.921076023,-0.810954274,-2.489279538,-2.082635061,-3.092224761,-3.011088977,0.842939059,Hai
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0,3,0,3,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.150515561,-0.093405835,-0.043603927,0.216872981,-0.020540565,0.07362809,-0.035587182,-0.257162362,-0.000192806,-0.207891624,0.008119511,-0.050745172,-0.433325004,-0.733361405,2.927352469,-0.840185888,-2.612799273,-2.125370445,-3.091313884,-2.544240491,0.851838555,Hai
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.145847654,-0.094261273,-0.045655665,0.222135361,-0.018070571,0.07760078,-0.031544088,-0.267143399,-0.003616467,-0.184385878,0.004392209,-0.062798477,-0.440092361,-0.73037115,2.896154134,-0.816710373,-1.445554943,-2.049694353,-3.130799964,-3.126370874,0.852723754,Hai
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.19,0.028611111,-0.200555556,0.165833333,-0.039444444,0.025555556,-0.04,-0.27,-0.01,-0.188611111,0.007777778,-0.051388889,-0.332222222,-0.75,-2.77350585,-0.840428177,-2.48722652,-2.076645352,-3.0475669,-2.931602123,0.820296297,Hormat
1,0,0,1,0,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,3,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.195277778,0.038850309,-0.199737654,0.158773148,-0.036929012,0.03654321,-0.041111111,-0.278333333,-0.010277778,-0.188016975,0.005493827,-0.058927469,-0.343950617,-0.778611111,-2.789943713,-0.892570758,2.369519813,-2.126157902,-3.134275798,-3.076688773,0.851211145,Hormat
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.195424383,0.031079175,-0.225548268,0.178021476,-0.01797025,0.017403978,-0.041141975,-0.287731481,-0.010285494,-0.185222694,0.000152606,-0.054970207,-0.342609739,-0.77496142,-2.887817014,-0.849337775,2.758765931,-2.074638191,-3.142257321,-3.171557725,0.847326491,Hormat
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.195428455,0.029474422,-0.224320785,0.17633393,-0.014110285,0.020483444,-0.041142833,-0.280492541,-0.009174597,-0.18570063,0.005004239,-0.060971395,-0.341739159,-0.781526706,-2.897719736,-0.839181433,2.893434882,-2.119007415,-3.132426554,-3.097785136,0.852986108,Hormat
0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.195428568,0.030818734,-0.226231133,0.193231498,-0.010947508,0.012791207,-0.041142856,-0.276958126,-0.008865961,-0.189880573,0.005694562,-0.056971428,-0.341992754,-0.781431297,-2.834392324,-0.887832056,3.090862173,-2.135970917,-3.128609325,-3.085658309,0.853011189,Hormat
